,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,85300.0,1200.0,+1.43%,100.0,5092225.0,5969783.0,55.61,24810196.0,40.03,4.15,
2,2.0,SK하이닉스,188000.0,8800.0,+4.91%,5000.0,1368644.0,728002.0,54.63,4612601.0,-15.02,-15.61,
3,3.0,LG에너지솔루션,379500.0,3500.0,+0.93%,500.0,888030.0,234000.0,4.92,174230.0,71.78,6.36,
4,4.0,삼성바이오로직스,817000.0,5000.0,+0.62%,2500.0,581492.0,71174.0,12.01,34503.0,67.8,9.12,
5,5.0,삼성전자우,69300.0,1000.0,+1.46%,100.0,570260.0,822887.0,75.48,1242411.0,32.52,,
9,6.0,현대차,226000.0,10000.0,+4.63%,5000.0,478061.0,211532.0,38.16,1313244.0,5.18,13.68,
10,7.0,기아,106700.0,4900.0,+4.81%,5000.0,428981.0,402044.0,40.32,1998043.0,4.9,20.44,
11,8.0,셀트리온,179600.0,900.0,-0.50%,1000.0,391617.0,218050.0,23.06,314251.0,49.35,5.07,
12,9.0,POSCO홀딩스,401500.0,3000.0,+0.75%,5000.0,339553.0,84571.0,27.29,633300.0,20.0,3.18,
13,10.0,NAVER,194300.0,900.0,+0.47%,100.0,315560.0,162409.0,45.56,677483.0,31.44,4.41,
17,11.0,삼성SDI,442000.0,14000.0,+3.27%,5000.0,303939.0,68765.0,42.22,440735.0,15.48,11.48,
18,12.0,LG화학,402500.0,500.0,-0.12%,5000.0,284134.0,70592.0,39.63,273168.0,23.55,4.2,
19,13.0,삼성물산,151700.0,1400.0,+0.93%,100.0,281543.0,185592.0,24.71,249877.0,12.83,7.28,
20,14.0,KB금융,69500.0,2200.0,+3.27%,5000.0,280440.0,403511.0,75.54,1013726.0,6.08,8.44,
21,15.0,현대모비스,244000.0,3500.0,+1.46%,5000.0,228518.0,93655.0,40.19,158559.0,6.71,8.73,
25,16.0,신한지주,44550.0,1050.0,+2.41%,5000.0,228434.0,512759.0,61.05,1555072.0,5.3,8.36,
26,17.0,카카오,49300.0,1700.0,-3.33%,100.0,219461.0,445153.0,28.04,2642152.0,-21.66,-10.26,
27,18.0,포스코퓨처엠,274500.0,3500.0,+1.29%,500.0,212637.0,77463.0,9.09,286138.0,739.89,1.19,
28,19.0,삼성생명,93400.0,600.0,+0.65%,500.0,186800.0,200000.0,19.56,261745.0,9.86,4.95,
29,20.0,하나금융지주,58300.0,2700.0,+4.86%,5000.0,170444.0,292357.0,70.61,1472705.0,5.02,9.01,
33,21.0,메리츠금융지주,82600.0,2400.0,+2.99%,500.0,167985.0,203372.0,16.62,310117.0,7.88,28.11,
34,22.0,LG전자,94300.0,400.0,+0.43%,5000.0,154320.0,163648.0,29.89,286556.0,23.92,3.69,
35,23.0,삼성화재,302000.0,500.0,+0.17%,500.0,143072.0,47375.0,53.63,75467.0,8.4,12.73,
36,24.0,한국전력,21750.0,400.0,+1.87%,5000.0,139627.0,641964.0,15.21,2138669.0,-2.9,-12.63,
37,25.0,한미반도체,137300.0,7600.0,-5.24%,100.0,133647.0,97339.0,15.43,3807173.0,50.02,55.54,
41,26.0,SK,179200.0,3700.0,+2.11%,200.0,131171.0,73198.0,24.78,133696.0,-17.07,-3.67,
42,27.0,LG,82300.0,100.0,+0.12%,5000.0,129459.0,157301.0,35.47,304806.0,10.46,4.89,
43,28.0,카카오뱅크,25950.0,400.0,-1.52%,5000.0,123761.0,476921.0,16.8,720975.0,34.88,6.0,
44,29.0,크래프톤,253000.0,500.0,-0.20%,100.0,122362.0,48364.0,34.92,103869.0,20.7,11.16,
45,30.0,삼성에스디에스,157200.0,1600.0,+1.03%,500.0,121638.0,77378.0,18.52,61359.0,17.54,8.22,
49,31.0,한화에어로스페이스,236000.0,8000.0,+3.51%,5000.0,119487.0,50630.0,35.32,1081271.0,14.62,25.6,
50,32.0,KT&G,90700.0,600.0,+0.67%,5000.0,118202.0,130322.0,44.34,142045.0,13.71,9.76,
51,33.0,삼성전기,155400.0,7400.0,+5.00%,5000.0,116074.0,74694.0,31.39,640681.0,28.51,5.5,
52,34.0,SK이노베이션,119900.0,2500.0,+2.13%,5000.0,114787.0,95736.0,22.84,344281.0,45.69,1.22,
53,35.0,SK텔레콤,52300.0,1300.0,+2.55%,100.0,112335.0,214790.0,42.52,392333.0,10.47,9.63,
57,36.0,SK스퀘어,78000.0,1500.0,+1.96%,100.0,108405.0,138981.0,49.84,402932.0,-8.54,-8.04,
58,37.0,HD현대중공업,121700.0,1000.0,-0.81%,5000.0,108037.0,88773.0,7.9,130617.0,437.77,0.47,
59,38.0,HMM,15670.0,280.0,-1.76%,5000.0,107972.0,689039.0,10.63,1874112.0,8.57,4.59,
60,39.0,두산에너빌리티,16810.0,310.0,+1.88%,5000.0,107678.0,640561.0,17.76,2391005.0,193.22,0.78,
61,40.0,기업은행,13340.0,120.0,+0.91%,5000.0,106377.0,797426.0,14.97,1191520.0,3.98,8.79,
65,41.0,우리금융지주,14010.0,250.0,+1.82%,5000.0,105348.0,751949.0,41.25,1579710.0,4.13,8.3,
66,42.0,고려아연,463000.0,19000.0,+4.28%,5000.0,96807.0,20909.0,17.94,59988.0,17.72,5.72,
67,43.0,KT,36350.0,300.0,+0.83%,5000.0,93732.0,257861.0,45.43,408193.0,9.35,6.05,
68,44.0,하이브,221000.0,3000.0,-1.34%,500.0,92051.0,41652.0,21.0,172836.0,49.07,6.58,
69,45.0,S-Oil,79700.0,500.0,-0.62%,2500.0,89728.0,112583.0,78.75,164435.0,9.79,10.83,
73,46.0,포스코인터내셔널,50400.0,300.0,+0.60%,5000.0,88665.0,175923.0,6.94,338002.0,13.15,13.36,
74,47.0,HD한국조선해양,121000.0,1300.0,+1.09%,5000.0,85635.0,70773.0,26.84,211521.0,38.62,2.26,
75,48.0,에코프로머티,119100.0,400.0,+0.34%,500.0,82161.0,68985.0,2.67,599336.0,1401.18,0.91,
76,49.0,한화오션,25850.0,1900.0,-6.85%,5000.0,79194.0,306359.0,16.99,4540621.0,34.15,6.33,
77,50.0,대한항공,21250.0,250.0,-1.16%,5000.0,78247.0,368221.0,16.68,948266.0,7.4,11.46,
