,날짜,종가,전일비,시가,고가,저가,거래량
0,2024.04.11,84100.0,500.0,83200.0,84700.0,82500.0,25333862.0
1,2024.04.09,83600.0,900.0,84500.0,84900.0,83100.0,23725956.0
2,2024.04.08,84500.0,0.0,85200.0,86000.0,84500.0,18953232.0
3,2024.04.05,84500.0,800.0,84500.0,85000.0,83800.0,18883752.0
4,2024.04.04,85300.0,1200.0,85200.0,85500.0,84300.0,25248934.0
5,2024.04.03,84100.0,900.0,84300.0,85000.0,83500.0,30493347.0
6,2024.04.02,85000.0,3000.0,82900.0,85000.0,82900.0,37077944.0
7,2024.04.01,82000.0,400.0,83200.0,83300.0,82000.0,20116513.0
8,2024.03.29,82400.0,1600.0,81200.0,82500.0,80900.0,27126366.0
9,2024.03.28,80800.0,1000.0,79400.0,81000.0,79200.0,25084812.0
10,2024.03.27,79800.0,100.0,79200.0,80000.0,79200.0,17424595.0
11,2024.03.26,79900.0,1700.0,79700.0,80100.0,79200.0,30551494.0
12,2024.03.25,78200.0,700.0,79600.0,79800.0,77800.0,18703996.0
13,2024.03.22,78900.0,400.0,79600.0,79900.0,77800.0,26724761.0
14,2024.03.21,79300.0,2400.0,79200.0,79300.0,77700.0,44569799.0
15,2024.03.20,76900.0,4100.0,73700.0,77200.0,73400.0,50106297.0
16,2024.03.19,72800.0,0.0,72300.0,73000.0,71700.0,15376066.0
17,2024.03.18,72800.0,500.0,72600.0,73000.0,72500.0,11520348.0
18,2024.03.15,72300.0,2000.0,73400.0,73700.0,72300.0,22580555.0
19,2024.03.14,74300.0,200.0,74400.0,74500.0,73600.0,22545539.0
20,2024.03.13,74100.0,800.0,73700.0,74100.0,73500.0,15243134.0
21,2024.03.12,73300.0,900.0,72600.0,73500.0,72100.0,13011654.0
22,2024.03.11,72400.0,900.0,72900.0,73100.0,72300.0,9740504.0
23,2024.03.08,73300.0,1100.0,72800.0,73400.0,72600.0,19271349.0
24,2024.03.07,72200.0,700.0,73100.0,73300.0,72200.0,14516963.0
25,2024.03.06,72900.0,800.0,73200.0,73500.0,72700.0,21547905.0
26,2024.03.05,73700.0,1200.0,74600.0,74800.0,73700.0,19505125.0
27,2024.03.04,74900.0,1500.0,74300.0,75000.0,74000.0,23210474.0
28,2024.02.29,73400.0,200.0,72600.0,73400.0,72000.0,21176403.0
29,2024.02.28,73200.0,300.0,72900.0,73900.0,72800.0,11795859.0
30,2024.02.27,72900.0,100.0,73100.0,73400.0,72700.0,13201981.0
31,2024.02.26,72800.0,100.0,72300.0,73200.0,72200.0,14669352.0
32,2024.02.23,72900.0,200.0,73600.0,74200.0,72900.0,16225166.0
33,2024.02.22,73100.0,100.0,73800.0,73900.0,72700.0,15208934.0
34,2024.02.21,73000.0,300.0,73400.0,73700.0,72900.0,11503495.0
35,2024.02.20,73300.0,500.0,73700.0,73700.0,72800.0,14681477.0
36,2024.02.19,73800.0,1000.0,72800.0,73900.0,72800.0,12726404.0
37,2024.02.16,72800.0,200.0,73300.0,73400.0,72500.0,13444781.0
38,2024.02.15,73000.0,1000.0,74200.0,74400.0,73000.0,14120600.0
39,2024.02.14,74000.0,1200.0,73700.0,74300.0,73700.0,12434945.0
40,2024.02.13,75200.0,1100.0,74800.0,75200.0,74400.0,21966745.0
41,2024.02.08,74100.0,900.0,75000.0,75200.0,73600.0,20810708.0
42,2024.02.07,75000.0,600.0,74600.0,75500.0,74300.0,16566445.0
43,2024.02.06,74400.0,100.0,74300.0,74700.0,73300.0,14559254.0
44,2024.02.05,74300.0,900.0,74200.0,74800.0,73500.0,19026021.0
45,2024.02.02,75200.0,1600.0,74000.0,75200.0,73700.0,14955881.0
46,2024.02.01,73600.0,900.0,73000.0,74200.0,72900.0,19881033.0
47,2024.01.31,72700.0,1600.0,73400.0,74000.0,72500.0,15703560.0
48,2024.01.30,74300.0,100.0,75000.0,75300.0,73700.0,12244418.0
49,2024.01.29,74400.0,1000.0,73800.0,75200.0,73500.0,13976521.0
50,2024.01.26,73400.0,700.0,73700.0,74500.0,73300.0,11160062.0
51,2024.01.25,74100.0,100.0,74200.0,74800.0,73700.0,11737747.0
52,2024.01.24,74000.0,1200.0,75200.0,75200.0,73500.0,12860661.0
53,2024.01.23,75200.0,100.0,75700.0,75800.0,74300.0,14786224.0
54,2024.01.22,75100.0,400.0,75900.0,76000.0,75000.0,19673375.0
55,2024.01.19,74700.0,3000.0,73500.0,74700.0,73000.0,23363427.0
56,2024.01.18,71700.0,700.0,71600.0,72000.0,70700.0,17853397.0
57,2024.01.17,71000.0,1600.0,73100.0,73300.0,71000.0,22683660.0
58,2024.01.16,72600.0,1300.0,73500.0,73700.0,72500.0,14760415.0
59,2024.01.15,73900.0,800.0,73200.0,74000.0,73200.0,13212339.0
60,2024.01.12,73100.0,100.0,73000.0,74100.0,72800.0,13038939.0
61,2024.01.11,73200.0,400.0,72900.0,73600.0,72700.0,57691266.0
62,2024.01.10,73600.0,1100.0,75000.0,75200.0,73200.0,20259529.0
63,2024.01.09,74700.0,1800.0,77400.0,77700.0,74300.0,26019249.0
64,2024.01.08,76500.0,100.0,77000.0,77500.0,76400.0,11088724.0
65,2024.01.05,76600.0,0.0,76700.0,77100.0,76400.0,11304316.0
66,2024.01.04,76600.0,400.0,76100.0,77300.0,76100.0,15324439.0
67,2024.01.03,77000.0,2600.0,78500.0,78800.0,77000.0,21753644.0
68,2024.01.02,79600.0,1100.0,78200.0,79800.0,78200.0,17142847.0
69,2023.12.28,78500.0,500.0,77700.0,78500.0,77500.0,17797536.0
70,2023.12.27,78000.0,1400.0,76700.0,78000.0,76500.0,20651042.0
71,2023.12.26,76600.0,700.0,76100.0,76700.0,75700.0,13164909.0
72,2023.12.22,75900.0,900.0,75800.0,76300.0,75400.0,14515608.0
73,2023.12.21,75000.0,200.0,74600.0,75000.0,74300.0,13478766.0
